Transaction_ID,Items
1,"Sandwich,Cappuccino,Muffin,Croissant,Cookie,Avocado Toast,Iced Coffee,Black Coffee"
2,"Americano,Waffles,Cookie,Green Tea,Iced Coffee,Bagel,Brownie,Panini,Black Coffee"
3,"Americano,Iced Coffee,Cookie"
4,"Sandwich,Cookie,Tea,Iced Coffee,Salad,Panini"
5,"Americano,Black Coffee,Tea,Donut"
6,"Americano,Waffles,Mocha,Salad,Pasta"
7,"Americano,Waffles,Cookie,Iced Coffee,Black Coffee"
8,"Cookie,Iced Coffee,Latte"
9,"Hot Chocolate,Omelette,Cookie,Iced Coffee,Fruit Parfait,Pasta"
10,"Smoothie,Croissant,Cookie,Tea,Iced Coffee,Salad,Pasta"
11,"Cookie,Tea,Iced Coffee,Brownie,Panini"
12,"Iced Coffee,Cookie,Tea"
13,"Wrap,Latte,Hot Chocolate,Donut,Avocado Toast,Green Tea,Mocha,Black Coffee"
14,"Muffin,Black Coffee,Cookie,Donut"
15,"Muffin,Croissant,Cheesecake,Salad,Pasta"
16,"Smoothie,Black Coffee,Donut,Tea"
17,"Hot Chocolate,Americano,Granola Bowl,Cookie,Iced Coffee"
18,"Croissant,Macchiato,Donut,Iced Coffee,Salad,Black Coffee"
19,"Americano,Smoothie,Cookie,Tea,Iced Coffee"
20,"Americano,Iced Coffee,Latte,Cookie"
21,"Pasta,Salad,Tea"
22,"Smoothie,Black Coffee,Donut,Tea"
23,"Cookie,Panini,Iced Coffee,Latte"
24,"Fruit Parfait,Iced Coffee,Croissant,Cookie"
25,"Black Coffee,Croissant,Salad,Donut"
26,"Americano,Salad,Hot Chocolate,Pasta"
27,"Sandwich,Americano,Waffles,Cookie,Iced Coffee,Fruit Parfait"
28,"Muffin,Granola Bowl,Donut,Tea,Black Coffee"
29,"Croissant,Avocado Toast,Salad,Pasta,Panini"
30,"Americano,Waffles,Donut,Salad,Black Coffee"
31,"Americano,Granola Bowl,Macchiato,Donut,Iced Coffee,Black Coffee"
32,"Americano,Smoothie,Salad,Pasta"
33,"Espresso,Smoothie,Croissant,Cookie,Donut,Green Tea,Black Coffee"
34,"Iced Coffee,Croissant,Cookie"
35,"Pasta,Salad,Tea"
36,"Wrap,Americano,Muffin,Croissant,Salad,Pasta"
37,"Croissant,Cookie,Mocha,Cheesecake,Iced Coffee"
38,"Pasta,Salad,Tea"
39,"Latte,Americano,Donut,Mocha,Panini,Black Coffee"
40,"Waffles,Croissant,Avocado Toast,Salad,Pasta"
41,"Americano,Donut,Tea,Fruit Parfait,Black Coffee"
42,"Espresso,Wrap,Granola Bowl,Cookie,Fruit Parfait,Salad,Pasta"
43,"Cookie,Iced Coffee,Latte"
44,"Americano,Waffles,Green Tea,Salad,Pasta"
45,"Americano,Iced Coffee,Cookie,Tea"
46,"Salad,Latte,Pasta"
47,"Omelette,Croissant,Green Tea,Salad,Pasta"
48,"Americano,Waffles,Macchiato,Salad,Pasta"
49,"Green Tea,Black Coffee,Donut,Tea"
50,"Wrap,Cookie,Tea,Donut,Black Coffee"
51,"Cookie,Iced Coffee,Croissant,Latte"
52,"Cookie,Donut,Tea,Cheesecake,Bagel,Fruit Parfait,Salad,Brownie,Black Coffee"
53,"Macchiato,Croissant,Tea,Bagel,Salad,Pasta"
54,"Americano,Granola Bowl,Macchiato,Tea,Donut,Black Coffee"
55,"Latte,Granola Bowl,Muffin,Cookie,Iced Coffee"
56,"Sandwich,Donut,Tea,Green Tea,Fruit Parfait,Panini,Black Coffee"
57,"Iced Coffee,Croissant,Cookie"
58,"Iced Coffee,Croissant,Cookie"
59,"Sandwich,Wrap,Americano,Muffin,Tea,Avocado Toast,Salad,Pasta"
60,"Iced Coffee,Croissant,Cookie"
61,"Espresso,Chai Latte,Granola Bowl,Cookie,Donut,Cheesecake,Black Coffee"
62,"Wrap,Americano,Waffles,Donut,Mocha,Iced Coffee,Black Coffee"
63,"Bagel,Iced Coffee,Cookie"
64,"Latte,Americano,Smoothie,Mocha,Salad,Fruit Parfait,Pasta"
65,"Bagel,Salad,Latte,Pasta"
66,"Espresso,Donut,Tea,Fruit Parfait,Black Coffee"
67,"Sandwich,Latte,Granola Bowl,Donut,Black Coffee"
68,"Americano,Fruit Parfait,Salad,Pasta"
69,"Black Coffee,Cookie,Donut"
70,"Pasta,Salad,Donut,Tea"
71,"Wrap,Croissant,Mocha,Fruit Parfait,Salad,Pasta"
72,"Cookie,Iced Coffee,Latte,Muffin"
73,"Americano,Cheesecake,Black Coffee,Donut"
